country,listed_in,content_count
", France, Algeria","Dramas, Independent Movies, International Movies",1
", South Korea","International TV Shows, TV Dramas",1
Argentina,"Action & Adventure, Comedies, International Movies",1
Argentina,"Action & Adventure, Horror Movies, International Movies",1
Argentina,"Children & Family Movies, Music & Musicals",1
Argentina,"Classic & Cult TV, Crime TV Shows, International TV Shows",1
Argentina,"Comedies, Cult Movies, International Movies",2
Argentina,"Comedies, International Movies",1
Argentina,"Comedies, International Movies, Music & Musicals",1
Argentina,"Comedies, International Movies, Romantic Movies",1
Argentina,"Crime TV Shows, Docuseries, International TV Shows",1
Argentina,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",6
Argentina,"Documentaries, International Movies",2
Argentina,"Documentaries, International Movies, Sports Movies",4
Argentina,"Dramas, Independent Movies, International Movies",2
Argentina,"Dramas, International Movies",6
Argentina,"Dramas, International Movies, LGBTQ Movies",1
Argentina,"Dramas, International Movies, Music & Musicals",1
Argentina,"Dramas, International Movies, Romantic Movies",1
Argentina,"Dramas, International Movies, Sci-Fi & Fantasy",1
Argentina,"Dramas, International Movies, Thrillers",2
Argentina,"Horror Movies, International Movies, Thrillers",1
Argentina,"International Movies, Thrillers",1
Argentina,"International TV Shows, Reality TV, Spanish-Language TV Shows",1
Argentina,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2
Argentina,"International TV Shows, Spanish-Language TV Shows, TV Comedies",2
Argentina,"International TV Shows, Spanish-Language TV Shows, TV Dramas",1
Argentina,"International TV Shows, Spanish-Language TV Shows, TV Horror",1
Argentina,"Kids' TV, Spanish-Language TV Shows",2
Argentina,"Kids' TV, Spanish-Language TV Shows, Teen TV Shows",1
Argentina,Stand-Up Comedy,8
"Argentina, Brazil, France, Poland, Germany, Denmark","Dramas, International Movies, Thrillers",1
"Argentina, Chile","Dramas, Independent Movies, International Movies",1
"Argentina, Chile","Dramas, International Movies",1
"Argentina, Chile, Peru","Comedies, International Movies, Sports Movies",1
"Argentina, France","Dramas, Independent Movies, International Movies",1
"Argentina, France, United States, Germany, Qatar","Dramas, International Movies",1
"Argentina, Italy","Documentaries, International Movies",1
"Argentina, Spain","Children & Family Movies, Sports Movies",1
"Argentina, Spain","Classic Movies, Dramas, International Movies",1
"Argentina, Spain","Comedies, Dramas, International Movies",1
"Argentina, Spain","Comedies, International Movies",2
"Argentina, Spain","Dramas, International Movies, Thrillers",2
